first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
19/04/2020,25/04/2020,70-74,Women,1456,0,0
19/04/2020,25/04/2020,75-79,Men,895,0,0
19/04/2020,25/04/2020,75-79,Not Binary,0,0,0
19/04/2020,25/04/2020,75-79,Women,1295,17,0
19/04/2020,25/04/2020,80+,Men,2602,24,0
19/04/2020,25/04/2020,80+,Not Binary,0,0,0
19/04/2020,25/04/2020,80+,Women,5942,38,0
19/04/2020,25/04/2020,NULL,Men,940,0,0
19/04/2020,25/04/2020,NULL,Not Binary,645,0,0
19/04/2020,25/04/2020,NULL,Women,1124,18,0
26/04/2020,02/05/2020,0-19,Men,4257,163,0
26/04/2020,02/05/2020,0-19,Not Binary,86,0,0
26/04/2020,02/05/2020,0-19,Women,3028,134,0
26/04/2020,02/05/2020,20-24,Men,2549,64,0
26/04/2020,02/05/2020,20-24,Not Binary,0,0,0
26/04/2020,02/05/2020,20-24,Women,2241,42,0
26/04/2020,02/05/2020,25-29,Men,2141,34,0
26/04/2020,02/05/2020,25-29,Not Binary,0,0,0
26/04/2020,02/05/2020,25-29,Women,2259,30,0
26/04/2020,02/05/2020,30-34,Men,1957,24,0
26/04/2020,02/05/2020,30-34,Not Binary,0,0,0
26/04/2020,02/05/2020,30-34,Women,2068,22,0
26/04/2020,02/05/2020,35-39,Men,1805,0,0
26/04/2020,02/05/2020,35-39,Not Binary,0,0,0
26/04/2020,02/05/2020,35-39,Women,1906,21,0
26/04/2020,02/05/2020,40-44,Men,1681,0,0
26/04/2020,02/05/2020,40-44,Not Binary,0,0,0
26/04/2020,02/05/2020,40-44,Women,1826,19,0
26/04/2020,02/05/2020,45-49,Men,1587,16,0
26/04/2020,02/05/2020,45-49,Not Binary,0,0,0
26/04/2020,02/05/2020,45-49,Women,1875,17,0
26/04/2020,02/05/2020,50-54,Men,1478,0,0
26/04/2020,02/05/2020,50-54,Not Binary,0,0,0
26/04/2020,02/05/2020,50-54,Women,1671,16,0
26/04/2020,02/05/2020,55-59,Men,1271,0,0
26/04/2020,02/05/2020,55-59,Women,1652,15,0
26/04/2020,02/05/2020,60-64,Men,1243,16,0
26/04/2020,02/05/2020,60-64,Not Binary,0,0,0
26/04/2020,02/05/2020,60-64,Women,1481,0,0
26/04/2020,02/05/2020,65-69,Men,1121,0,0
26/04/2020,02/05/2020,65-69,Women,1199,0,0
26/04/2020,02/05/2020,70-74,Men,993,0,0
26/04/2020,02/05/2020,70-74,Not Binary,0,0,0
26/04/2020,02/05/2020,70-74,Women,1094,0,0
26/04/2020,02/05/2020,75-79,Men,684,0,0
26/04/2020,02/05/2020,75-79,Not Binary,0,0,0
26/04/2020,02/05/2020,75-79,Women,854,0,0
26/04/2020,02/05/2020,80+,Men,1949,0,15
26/04/2020,02/05/2020,80+,Women,4287,18,0
26/04/2020,02/05/2020,NULL,Men,841,20,0
26/04/2020,02/05/2020,NULL,Not Binary,656,0,0
26/04/2020,02/05/2020,NULL,Women,890,0,0
03/05/2020,09/05/2020,0-19,Men,2899,50,0
03/05/2020,09/05/2020,0-19,Not Binary,18,0,0
03/05/2020,09/05/2020,0-19,Women,2532,42,0
03/05/2020,09/05/2020,20-24,Men,1657,27,0
03/05/2020,09/05/2020,20-24,Not Binary,0,0,0
03/05/2020,09/05/2020,20-24,Women,1838,18,0
03/05/2020,09/05/2020,25-29,Men,1840,0,0
03/05/2020,09/05/2020,25-29,Not Binary,0,0,0
03/05/2020,09/05/2020,25-29,Women,2227,0,0
03/05/2020,09/05/2020,30-34,Men,1792,0,0
03/05/2020,09/05/2020,30-34,Not Binary,0,0,0
03/05/2020,09/05/2020,30-34,Women,2084,0,0
03/05/2020,09/05/2020,35-39,Men,1712,0,0
03/05/2020,09/05/2020,35-39,Not Binary,0,0,0
03/05/2020,09/05/2020,35-39,Women,2127,0,0
03/05/2020,09/05/2020,40-44,Men,1658,0,0
03/05/2020,09/05/2020,40-44,Not Binary,0,0,0
03/05/2020,09/05/2020,40-44,Women,2423,0,0
03/05/2020,09/05/2020,45-49,Men,1605,0,0
03/05/2020,09/05/2020,45-49,Not Binary,0,0,0
03/05/2020,09/05/2020,45-49,Women,1836,0,0
03/05/2020,09/05/2020,50-54,Men,1252,0,0
03/05/2020,09/05/2020,50-54,Not Binary,0,0,0
03/05/2020,09/05/2020,50-54,Women,1676,0,0
03/05/2020,09/05/2020,55-59,Men,1040,0,0
03/05/2020,09/05/2020,55-59,Not Binary,0,0,0
03/05/2020,09/05/2020,55-59,Women,1559,0,0
03/05/2020,09/05/2020,60-64,Men,1071,0,0
03/05/2020,09/05/2020,60-64,Not Binary,0,0,0
03/05/2020,09/05/2020,60-64,Women,1345,0,0
03/05/2020,09/05/2020,65-69,Men,1000,0,0
03/05/2020,09/05/2020,65-69,Not Binary,0,0,0
03/05/2020,09/05/2020,65-69,Women,1079,0,0
03/05/2020,09/05/2020,70-74,Men,922,0,0
03/05/2020,09/05/2020,70-74,Women,1096,0,0
03/05/2020,09/05/2020,75-79,Men,711,0,0
03/05/2020,09/05/2020,75-79,Not Binary,0,0,0
03/05/2020,09/05/2020,75-79,Women,913,0,0
03/05/2020,09/05/2020,80+,Men,2158,0,0
03/05/2020,09/05/2020,80+,Not Binary,0,0,0
03/05/2020,09/05/2020,80+,Women,4812,0,0
03/05/2020,09/05/2020,NULL,Men,670,0,0
03/05/2020,09/05/2020,NULL,Not Binary,83,0,0
03/05/2020,09/05/2020,NULL,Women,831,0,0
10/05/2020,16/05/2020,0-19,Men,2233,23,0
10/05/2020,16/05/2020,0-19,Not Binary,0,0,0
10/05/2020,16/05/2020,0-19,Women,1960,25,0
10/05/2020,16/05/2020,20-24,Men,1177,0,0
10/05/2020,16/05/2020,20-24,Women,1405,0,0
10/05/2020,16/05/2020,25-29,Men,1183,0,0
10/05/2020,16/05/2020,25-29,Not Binary,0,0,0
10/05/2020,16/05/2020,25-29,Women,1635,0,0
10/05/2020,16/05/2020,30-34,Men,1222,0,0
10/05/2020,16/05/2020,30-34,Not Binary,0,0,0
10/05/2020,16/05/2020,30-34,Women,1647,0,0
10/05/2020,16/05/2020,35-39,Men,1191,0,0
10/05/2020,16/05/2020,35-39,Not Binary,15,0,0
10/05/2020,16/05/2020,35-39,Women,1793,0,0
10/05/2020,16/05/2020,40-44,Men,1147,0,0
10/05/2020,16/05/2020,40-44,Not Binary,0,0,0
10/05/2020,16/05/2020,40-44,Women,1840,0,0
