Date,age group,Severe cases vaccinated,Severe cases expired Vaccination  ,Severe cases Not vaccinated,Severe cases vaccinated per 100k,Severe cases expired Vaccination  per 100k,Severe cases Not vaccinated per 100k,New Severe cases vaccinated,New severe cases expired Vaccination,New severe cases Not vaccinated,New severe cases vaccinated per 100k,New severe cases expired Vaccination  per 100k,New severe cases Not vaccinated per 100k
23-07-2021,All population,54,1,30,1,0.9,0.8,16,0,5,0.3,0,0.1
24-07-2021,All population,57,2,28,1.1,1.1,0.8,11,1,4,0.2,0.5,0.1
24-07-2021,0-59,8,0,14,0.2,0,0.4,2,0,2,0,0,0.1
24-07-2021,60+,49,2,14,3.9,1.6,8.3,9,1,2,0.7,0.8,1.2
25-07-2021,All population,62,2,31,1.2,0.9,0.9,17,0,5,0.3,0,0.1
25-07-2021,60+,57,2,14,4.6,1.3,8.3,17,0,2,1.4,0,1.2
25-07-2021,0-59,5,0,17,0.1,0,0.5,0,0,3,0,0,0.1
26-07-2021,All population,78,3,39,1.5,1.2,1.1,25,1,13,0.5,0.4,0.4
26-07-2021,0-59,6,0,22,0.1,0,0.6,1,0,7,0,0,0.2
26-07-2021,60+,72,3,17,5.9,1.7,10.2,24,1,6,2,0.6,3.6
27-07-2021,All population,91,8,52,1.8,2.4,1.5,23,5,16,0.4,1.5,0.4
27-07-2021,60+,84,8,27,7.3,3.3,16.2,22,5,10,1.9,2.1,6
27-07-2021,0-59,7,0,25,0.2,0,0.7,1,0,6,0,0,0.2
28-07-2021,All population,80,12,55,1.6,2.7,1.5,10,6,9,0.2,1.3,0.3
28-07-2021,60+,72,12,28,6.7,3.7,16.8,9,6,4,0.8,1.9,2.4
28-07-2021,0-59,8,0,27,0.2,0,0.8,1,0,5,0,0,0.1
29-07-2021,60+,66,16,33,6.7,3.9,19.8,11,7,7,1.1,1.7,4.2
29-07-2021,0-59,8,0,29,0.2,0,0.9,1,0,6,0,0,0.2
29-07-2021,All population,74,16,62,1.5,2.7,1.7,12,7,13,0.2,1.2,0.4
30-07-2021,All population,88,27,60,1.8,3.7,1.7,21,14,6,0.4,1.9,0.2
30-07-2021,0-59,7,0,25,0.2,0,0.7,2,0,2,0.1,0,0.1
30-07-2021,60+,81,27,35,9.1,5.4,21.1,19,14,4,2.1,2.8,2.4
31-07-2021,All population,94,31,67,2,3.5,1.9,15,8,14,0.3,0.9,0.4
31-07-2021,0-59,7,0,26,0.2,0,0.8,0,0,4,0,0,0.1
31-07-2021,60+,87,31,41,10.9,5.3,24.7,15,8,10,1.9,1.4,6
01-08-2021,All population,89,35,67,1.9,3.8,1.9,13,8,8,0.3,0.9,0.2
01-08-2021,60+,82,35,41,10.8,5.8,24.8,12,8,5,1.6,1.3,3
01-08-2021,0-59,7,0,26,0.2,0,0.8,1,0,3,0,0,0.1
02-08-2021,All population,99,41,69,2.2,4.4,1.9,23,9,13,0.5,1,0.4
02-08-2021,0-59,11,0,30,0.3,0,0.9,4,0,7,0.1,0,0.2
02-08-2021,60+,88,41,39,12,7.1,23.6,19,9,6,2.6,1.6,3.6
03-08-2021,All population,95,58,71,2.1,5.8,2,17,22,13,0.4,2.2,0.4
03-08-2021,60+,86,58,42,12.9,9.9,25.5,15,22,8,2.3,3.8,4.9
03-08-2021,0-59,9,0,29,0.2,0,0.9,2,0,5,0.1,0,0.1
04-08-2021,All population,88,65,79,2,6.1,2.2,12,19,17,0.3,1.8,0.5
04-08-2021,60+,79,64,45,13,11.1,27.4,11,18,8,1.8,3.1,4.9
04-08-2021,0-59,9,1,34,0.2,0.2,1,1,1,9,0,0.2,0.3
05-08-2021,60+,80,76,52,14.4,13.7,31.7,13,24,14,2.3,4.3,8.5
05-08-2021,All population,89,77,87,2.1,7,2.5,15,24,23,0.4,2.2,0.7
05-08-2021,0-59,9,1,35,0.2,0.2,1,2,0,9,0.1,0,0.3
06-08-2021,All population,90,89,91,2.2,7.6,2.6,15,24,16,0.4,2,0.5
06-08-2021,60+,81,85,53,15.9,15,32.4,14,21,9,2.7,3.7,5.5
06-08-2021,0-59,9,4,38,0.2,0.7,1.1,1,3,7,0,0.5,0.2
07-08-2021,0-59,11,6,46,0.3,0.9,1.4,3,3,10,0.1,0.4,0.3
07-08-2021,All population,96,117,111,2.4,9.2,3.1,16,38,25,0.4,3,0.7
07-08-2021,60+,85,111,65,18.1,18.9,39.8,13,35,15,2.8,6,9.2
08-08-2021,0-59,13,8,52,0.4,1.1,1.5,3,3,9,0.1,0.4,0.3
08-08-2021,60+,87,123,84,18.2,23.1,51.6,15,31,23,3.1,5.8,14.1
08-08-2021,All population,100,131,136,2.5,10.5,3.9,18,34,32,0.4,2.7,0.9
09-08-2021,60+,84,136,87,16.3,28.7,53.6,14,30,14,2.7,6.3,8.6
09-08-2021,0-59,15,6,49,0.4,0.8,1.5,4,1,7,0.1,0.1,0.2
09-08-2021,All population,99,142,136,2.5,11.6,3.9,18,31,21,0.4,2.5,0.6
10-08-2021,0-59,16,8,52,0.5,1,1.6,4,3,7,0.1,0.4,0.2
10-08-2021,60+,84,140,88,14.9,33,54.4,16,28,14,2.8,6.6,8.7
10-08-2021,All population,100,148,140,2.5,12.3,4,20,31,21,0.5,2.6,0.6
11-08-2021,60+,80,144,92,12.9,38,57.1,16,24,18,2.6,6.3,11.2
11-08-2021,0-59,17,10,56,0.5,1.2,1.7,3,5,8,0.1,0.6,0.2
11-08-2021,All population,97,154,148,2.4,13,4.2,19,29,26,0.5,2.5,0.7
12-08-2021,All population,93,172,164,2.3,14.8,4.7,13,36,29,0.3,3.1,0.8
12-08-2021,0-59,13,10,66,0.4,1.2,2,0,1,13,0,0.1,0.4
12-08-2021,60+,80,162,98,11.6,48.6,61.1,13,35,16,1.9,10.5,10
13-08-2021,60+,92,154,115,12.7,48.4,71.9,24,22,31,3.3,6.9,19.4
13-08-2021,All population,105,164,187,2.6,14.1,5.4,25,24,50,0.6,2.1,1.4
13-08-2021,0-59,13,10,72,0.4,1.2,2.2,1,2,19,0,0.2,0.6
14-08-2021,0-59,13,12,75,0.4,1.4,2.3,4,3,11,0.1,0.3,0.3
14-08-2021,60+,103,156,120,13.9,50.3,75.2,21,24,19,2.8,7.7,11.9
14-08-2021,All population,116,168,195,2.8,14.2,5.6,25,27,30,0.6,2.3,0.9
15-08-2021,All population,114,193,213,2.8,17.2,6.1,19,48,37,0.5,4.3,1.1
15-08-2021,60+,99,171,130,12.2,61.5,81.8,16,38,23,2,13.7,14.5
15-08-2021,0-59,15,22,83,0.5,2.6,2.5,3,10,14,0.1,1.2,0.4
16-08-2021,60+,101,156,138,11.5,62.6,87.2,16,25,21,1.8,10,13.3
16-08-2021,0-59,14,21,85,0.4,2.6,2.6,2,3,12,0.1,0.4,0.4
16-08-2021,All population,115,177,223,2.7,16.5,6.4,18,28,33,0.4,2.6,0.9
17-08-2021,All population,124,186,237,2.9,17.5,6.8,25,32,37,0.6,3,1.1
17-08-2021,60+,109,155,147,11.6,68,93.3,22,20,23,2.3,8.8,14.6
17-08-2021,0-59,15,31,90,0.5,3.7,2.7,3,12,14,0.1,1.4,0.4
